Year,City,Sport,Athlete,Country,Medal
[1896, ATHENS, Aquatics, HAJOS Alfred, HUN, gold]
[1896, ATHENS, Aquatics, DRIVAS Dimitrios, GRE, bronze]
[1896, ATHENS, Aquatics, MALOKINIS Ioannis, GRE, gold]
[1896, ATHENS, Aquatics, CHASAPIS Spiridon, GRE, silver]
[1896, ATHENS, Aquatics, CHOROPHAS Efstathios, GRE, bronze]
[1896, ATHENS, Aquatics, HAJOS Alfred, HUN, gold]
[1896, ATHENS, Aquatics, ANDREOU Joannis, GRE, silver]
[1896, ATHENS, Aquatics, CHOROPHAS Efstathios, GRE, bronze]
[1896, ATHENS, Aquatics, NEUMANN Paul, AUT, gold]
[1896, ATHENS, Aquatics, PEPANOS Antonios, GRE, silver]
[1896, ATHENS, Athletics, LANE Francis, USA, bronze]
[1896, ATHENS, Athletics, SZOKOLYI Alajos, HUN, bronze]
[1896, ATHENS, Athletics, BURKE Thomas, USA, gold]
[1896, ATHENS, Athletics, HOFMANN Fritz, GER, silver]
[1896, ATHENS, Athletics, CURTIS Thomas, USA, gold]
[1896, ATHENS, Athletics, GOULDING Grantley, GBR, silver]
[1896, ATHENS, Athletics, LERMUSIAUX Albin, FRA, bronze]
[1896, ATHENS, Athletics, FLACK Edwin, AUS, gold]
[1896, ATHENS, Athletics, BLAKE Arthur, USA, silver]
[1896, ATHENS, Athletics, GMELIN Charles, GBR, bronze]
[1896, ATHENS, Athletics, BURKE Thomas, USA, gold]
[1896, ATHENS, Athletics, JAMISON Herbert, USA, silver]
[1896, ATHENS, Athletics, GOLEMIS Dimitrios, GRE, bronze]
[1896, ATHENS, Athletics, FLACK Edwin, AUS, gold]
[1896, ATHENS, Athletics, DANI Nandor, HUN, silver]
[1896, ATHENS, Athletics, VERSIS Sotirios, GRE, bronze]
[1896, ATHENS, Athletics, GARRETT Robert, USA, gold]
[1896, ATHENS, Athletics, PARASKEVOPOULOS Panagiotis, GRE, silver]
[1896, ATHENS, Athletics, CLARK Ellery, USA, gold]
[1896, ATHENS, Athletics, CONNOLLY James, USA, silver]
[1896, ATHENS, Athletics, GARRETT Robert, USA, silver]
[1896, ATHENS, Athletics, CONNOLLY James, USA, bronze]
[1896, ATHENS, Athletics, CLARK Ellery, USA, gold]
[1896, ATHENS, Athletics, GARRETT Robert, USA, silver]
[1896, ATHENS, Athletics, KELLNER Gyula, HUN, bronze]
[1896, ATHENS, Athletics, LOUIS Spyridon, GRE, gold]
[1896, ATHENS, Athletics, VASILAKOS Kharilaos, GRE, silver]
[1896, ATHENS, Athletics, DAMASKOS Evangelos, GRE, bronze]
[1896, ATHENS, Athletics, THEODOROPOULOS Ioannis, GRE, bronze]
[1896, ATHENS, Athletics, HOYT William Welles, USA, gold]
[1896, ATHENS, Athletics, TYLER Albert, USA, silver]
[1896, ATHENS, Athletics, PAPASIDERIS Georgios, GRE, bronze]
[1896, ATHENS, Athletics, GARRETT Robert, USA, gold]
[1896, ATHENS, Athletics, GOUSKOS Miltiadis, GRE, silver]
[1896, ATHENS, Athletics, PERSAKIS Ioannis, GRE, bronze]
[1896, ATHENS, Athletics, CONNOLLY James, USA, gold]
[1896, ATHENS, Athletics, TUFFERI Alexandre, FRA, silver]
[1896, ATHENS, Cycling, BATTEL Edward, GBR, bronze]
[1896, ATHENS, Cycling, KONSTANTINIDIS Aristidis, GRE, gold]
[1896, ATHENS, Cycling, GOEDRICH August, GER, silver]
[1896, ATHENS, Cycling, FLAMENG Léon, FRA, gold]
[1896, ATHENS, Cycling, KOLETTIS Georgios, GRE, silver]
[1896, ATHENS, Cycling, SCHMAL Adolf, AUT, bronze]
[1896, ATHENS, Cycling, MASSON Paul, FRA, gold]
[1896, ATHENS, Cycling, FLAMENG Léon, FRA, silver]
[1896, ATHENS, Cycling, SCHMAL Adolf, AUT, gold]
[1896, ATHENS, Cycling, KEEPING Frank, GBR, silver]
[1896, ATHENS, Cycling, SCHMAL Adolf, AUT, bronze]
[1896, ATHENS, Cycling, MASSON Paul, FRA, gold]
[1896, ATHENS, Cycling, NIKOLOPOULOS Stamatios, GRE, silver]
[1896, ATHENS, Cycling, FLAMENG Léon, FRA, bronze]
[1896, ATHENS, Cycling, MASSON Paul, FRA, gold]
[1896, ATHENS, Cycling, NIKOLOPOULOS Stamatios, GRE, silver]
[1896, ATHENS, Fencing, PIERRAKOS-MAVROMICHALIS Perikles, GRE, bronze]
[1896, ATHENS, Fencing, GRAVELOTTE Eugène-Henri, FRA, gold]
[1896, ATHENS, Fencing, CALLOT Henri, FRA, silver]
[1896, ATHENS, Fencing, PYRGOS Leonidas, GRE, gold]
[1896, ATHENS, Fencing, PERRONNET Maurice, FRA, silver]
[1896, ATHENS, Fencing, NIELSEN Holger, DEN, bronze]
[1896, ATHENS, Fencing, GEORGIADIS Ioannis, GRE, gold]
[1896, ATHENS, Fencing, KARAKALOS Telemachos, GRE, silver]
[1896, ATHENS, Gymnastics, WEINGÄRTNER Hermann, GER, gold]
[1896, ATHENS, Gymnastics, FLATOW Alfred, GER, silver]
[1896, ATHENS, Gymnastics, FLATOW Alfred, GER, gold]
[1896, ATHENS, Gymnastics, ZUTTER Louis, SUI, silver]
[1896, ATHENS, Gymnastics, ZUTTER Louis, SUI, gold]
[1896, ATHENS, Gymnastics, WEINGÄRTNER Hermann, GER, silver]
[1896, ATHENS, Gymnastics, PERSAKIS Petros, GRE, bronze]
[1896, ATHENS, Gymnastics, MITROPOULOS Ioannis, GRE, gold]
[1896, ATHENS, Gymnastics, WEINGÄRTNER Hermann, GER, silver]
[1896, ATHENS, Gymnastics, HOFMANN Fritz, GER, bronze]
